MODZCTA,Percentage vaccinated
10001,83.45192307692308
10002,80.10096153846153
10003,76.88942307692308
10004,93.34328358208955
10005,94.06532663316582
10006,95.30208333333333
10007,88.5048076923077
10009,72.57211538461539
10010,84.125
10011,73.86057692307692
10012,67.27403846153847
10013,86.5
10014,71.5673076923077
10016,85.9326923076923
10017,90.82692307692308
10018,83.42647058823529
10019,82.13461538461539
10021,82.67307692307692
10022,86.5625
10023,73.40865384615384
10024,68.375
10025,69.90384615384616
10026,62.3125
10027,62.63461538461539
10028,73.07692307692308
10029,73.83653846153847
10030,56.38942307692308
10031,70.0625
10032,69.04326923076923
10033,70.89903846153847
10034,73.26923076923077
10035,68.6298076923077
10036,74.50961538461539
10037,84.23557692307692
10038,79.10096153846153
10039,60.28846153846154
10040,72.5673076923077
10044,72.0673076923077
10065,86.84134615384616
10069,92.66826923076923
10075,87.22596153846153
10128,78.71634615384616
10280,54.39423076923077
10282,79.90384615384616
10301,67.70673076923077
10302,64.875
10303,56.39903846153846
10304,62.79807692307692
10305,54.21634615384615
10306,49.03365384615385
10307,40.432038834951456
10308,44.12019230769231
10309,43.1875
10310,60.22596153846154
10312,46.99038461538461
10314,50.33653846153846
10451,79.4326923076923
10452,75.4326923076923
10453,76.20673076923077
10454,74.9375
10455,78.60576923076923
10456,77.65384615384616
10457,76.22115384615384
10458,72.85096153846153
10459,68.33653846153847
10460,71.9951923076923
10461,71.29326923076923
10462,80.73076923076923
10463,68.07211538461539
10464,93.23076923076923
10465,52.87019230769231
10466,61.15865384615385
10467,74.48076923076923
10468,72.26923076923077
10469,59.27884615384615
10470,65.16346153846153
10471,56.39423076923077
10472,83.29807692307692
10473,69.33653846153847
10474,81.33653846153847
10475,59.88461538461539
11004,93.27884615384616
11101,85.44711538461539
11102,83.7548076923077
11103,69.79807692307692
11104,75.02403846153847
11105,66.30288461538461
11106,74.0576923076923
11109,94.80102040816327
11201,81.47115384615384
11203,66.6298076923077
11204,58.39423076923077
11205,37.54326923076923
11206,35.35096153846154
11207,63.79326923076923
11208,67.08173076923077
11209,60.78365384615385
11210,58.11538461538461
11211,33.51923076923077
11212,70.6875
11213,46.33653846153846
11214,68.86538461538461
11215,73.48557692307692
11216,53.39423076923077
11217,71.45192307692308
11218,62.59615384615385
11219,53.42307692307692
11220,93.44711538461539
11221,56.01442307692308
11222,73.3173076923077
11223,67.11057692307692
11224,61.11057692307692
11225,53.0625
11226,66.60576923076923
11228,61.96634615384615
11229,60.93269230769231
11230,62.29326923076923
11231,68.98076923076923
11232,77.26923076923077
11233,47.50961538461539
11234,54.62019230769231
11235,67.30288461538461
11236,59.17307692307692
11237,66.99038461538461
11238,75.6923076923077
11239,67.09134615384616
11354,89.42307692307692
11355,95.85096153846153
11356,74.61057692307692
11357,57.62980769230769
11358,73.45192307692308
11360,57.05769230769231
11361,61.39423076923077
11362,55.53846153846154
11363,51.14492753623188
11364,59.52884615384615
11365,66.28846153846153
11366,71.77403846153847
11367,64.64423076923077
11368,82.42788461538461
11369,89.58173076923077
11370,84.39423076923077
11372,83.50961538461539
11373,86.8701923076923
11374,74.89903846153847
11375,68.36538461538461
11377,81.1875
11378,53.58173076923077
11379,53.61538461538461
11385,54.15865384615385
11411,51.19711538461539
11412,58.45192307692308
11413,52.52884615384615
11414,49.75961538461539
11415,62.29807692307692
11416,77.25961538461539
11417,69.33653846153847
11418,68.04326923076923
11419,64.10096153846153
11420,59.61538461538461
11421,67.29807692307692
11422,49.70192307692308
11423,77.26442307692308
11426,52.64423076923077
11427,55.06730769230769
11428,58.80288461538461
11429,80.0
11432,84.95192307692308
11433,69.17307692307692
11434,60.19711538461539
11435,73.76923076923077
11436,61.00961538461539
11691,52.83653846153846
11692,47.87980769230769
11693,44.50480769230769
11694,46.0
11697,55.21212121212121
